,Unnamed: 0,created_at,updated_at,clickability_test_id,excerpt,headline,lede,slug,eyecatcher_id,impressions,clicks,significance,first_place,winner,share_text,square,test_week
10,10,2014-11-20 06:56:21.343,2016-04-02 16:31:48.08,546d902c26714c6c44000039,Things that matter. Pass 'em on.,This Is What Sexism Against Men Sounds Like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5h,546d900426714cd2dd00002f,3423,84,1.9,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446
11,51,2014-11-20 13:23:11.221,2016-04-02 16:31:45.612,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2a,545c477e74bfe7589400000b,3910,142,38.6,False,False,,,201446
12,62,2014-11-20 14:57:52.478,2016-04-02 16:25:54.161,546e009a9ad54ec65b00004b,Things that matter. Pass 'em on.,What They Learned From The Scientist Was Terrifying. But That's What They Needed To Hear.,<p>Some decent guys fighting for an important cause.</p>,what-they-learned-from-the-scientist-was-terrifying-but-thats-what-they-needed-to-hear-eg2-4b,546c7f2dbadeb5788700000a,4594,51,20.7,False,False,,,201446
13,67,2014-11-20 14:00:35.212,2016-04-02 16:31:45.213,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2b,545c4777dbe440958400000b,3872,122,4.6,False,False,,,201446
14,74,2014-11-20 14:03:11.812,2016-04-02 16:31:40.751,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2c,546df0e926714cd2dd00003d,3794,67,0.0,False,False,,,201446
15,76,2014-11-20 14:03:30.359,2016-04-02 16:31:40.741,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2d,546df37e9ad54eec8d00004f,3888,136,34.6,False,False,,,201446
16,77,2014-11-20 14:10:37.327,2016-04-02 16:31:46.729,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2e,546df39a84ad380b59000037,3841,150,100.0,True,False,,,201446
17,78,2014-11-20 14:14:58.801,2016-04-02 16:31:48.408,546deb3f26714cd2dd00003a,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-2f,546df69784ad385a0a000049,3883,98,0.1,False,False,,,201446
18,79,2014-11-20 14:27:14.957,2016-04-02 16:25:54.12,546dfa4226714c0538000064,Things that matter. Pass 'em on.,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,"<p>In November 2014, singer/songerwriter Bob Geldof decided to record revamped version of Band Aid's ""Do They Know It's Christmas Time?"" with a bunch of celebrities like Bono, Seal, Chris Martin from Coldplay, Sinead O'Conner and One Direction to raise money to fight the Ebola crisis.</p>",a-bunch-of-celebrities-recorded-a-song-to-raise-money-for-ebola-meet-the-one-who-said-no-thanks-fr2-7a-2,546df33b84ad3834f000004c,3848,220,100.0,True,True,Powerful quotes from the musician who turned down the ebola crisis charity song.,,201446
19,80,2014-11-20 14:27:38.304,2016-04-02 16:31:40.756,546dfa4226714c0538000064,He didn't want to say no. He had to. ,A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,"<p>In November 2014, singer/songerwriter Bob Geldof decided to record revamped version of Band Aid's ""Do They Know It's Christmas Time?"" with a bunch of celebrities like Bono, Seal, Chris Martin from Coldplay, Sinead O'Conner and One Direction to raise money to fight the Ebola crisis.</p>",a-bunch-of-celebrities-recorded-a-song-to-raise-money-for-ebola-meet-the-one-who-said-no-thanks-fr2-7b,546df33b84ad3834f000004c,3948,181,2.7,False,False,Powerful quotes from the musician who turned down the ebola crisis charity song.,,201446
20,81,2014-11-20 14:28:28.553,2016-04-02 16:31:46.906,546dfa4226714c0538000064,"Uh, yeah they have Christmas in Africa. ",A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,"<p>In November 2014, singer/songerwriter Bob Geldof decided to record revamped version of Band Aid's ""Do They Know It's Christmas Time?"" with a bunch of celebrities like Bono, Seal, Chris Martin from Coldplay, Sinead O'Conner and One Direction to raise money to fight the Ebola crisis.</p>",a-bunch-of-celebrities-recorded-a-song-to-raise-money-for-ebola-meet-the-one-who-said-no-thanks-fr2-7c,546df33b84ad3834f000004c,3839,182,6.1,False,False,Powerful quotes from the musician who turned down the ebola crisis charity song.,,201446
21,82,2014-11-20 14:29:15.311,2016-04-02 16:25:54.122,546dfa4226714c0538000064,"They've already raised millions, but at what cost?",A Bunch Of Celebrities Recorded A Song To Raise Money For Ebola. Meet The One Who Said 'No Thanks'.,"<p>In November 2014, singer/songerwriter Bob Geldof decided to record revamped version of Band Aid's ""Do They Know It's Christmas Time?"" with a bunch of celebrities like Bono, Seal, Chris Martin from Coldplay, Sinead O'Conner and One Direction to raise money to fight the Ebola crisis.</p>",a-bunch-of-celebrities-recorded-a-song-to-raise-money-for-ebola-meet-the-one-who-said-no-thanks-fr2-7d,546df33b84ad3834f000004c,3845,186,12.0,False,False,Powerful quotes from the musician who turned down the ebola crisis charity song.,,201446
22,84,2014-11-20 14:54:18.78,2016-04-02 16:25:54.159,546e009a9ad54ec65b00004b,Things that matter. Pass 'em on.,A Science Guy Helps 3 Dudes From America Understand What They're Really Up Against,<p>Some decent guys fighting for an important cause.</p>,a-science-guy-helps-3-dudes-from-america-understand-what-theyre-really-up-against-eg2-4a,546c7f2dbadeb5788700000a,4571,58,57.6,False,False,,,201446
23,95,2014-11-20 15:04:49.517,2016-04-02 16:25:54.112,546e009a9ad54ec65b00004b,Things that matter. Pass 'em on.,He Sat Them Down And Told Them About An Imminent Death — Which Is Why They Came To Australia,<p>Some decent guys fighting for an important cause.</p>,he-sat-them-down-and-told-them-about-an-imminent-death-which-is-why-they-came-to-australia-eg2-4c,546c7f2dbadeb5788700000a,4601,27,0.0,False,False,,,201446
24,100,2014-11-20 15:13:36.266,2016-04-02 16:31:47.52,546e009a9ad54ec65b00004b,Things that matter. Pass 'em on.,"The 3 Of Them Needed To See It In Person, And The Fact That It Was Beautiful Made It Even Worse",<p>Some decent guys fighting for an important cause.</p>,the-3-of-them-needed-to-see-it-in-person-and-the-fact-that-it-was-beautiful-made-it-even-worse-eg2-4e,546c7f2dbadeb5788700000a,4567,63,100.0,True,False,,,201446
25,102,2014-11-20 15:15:25.697,2016-04-02 16:25:54.117,546e009a9ad54ec65b00004b,Things that matter. Pass 'em on.,"They May Not Be The Most Handsome Dudes, But They're Passionate. And They Have A Mission.",<p>Some decent guys fighting for an important cause.</p>,they-may-not-be-the-most-handsome-dudes-but-theyre-passionate-and-they-have-a-mission-eg2-4f,546c7f2dbadeb5788700000a,4524,44,4.5,False,False,,,201446
26,103,2014-11-20 15:22:07.561,2016-04-02 16:31:48.341,546cb9c954524053ac000013,Things that matter. Pass 'em on.,"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",<p>Africa is not your excuse to take selfies.</p>,the-selfies-were-already-bad-enough-but-then-there-was-everything-else-this-woman-may-have-issues-eg2-4b,546c7f42badeb54dd0000005,4527,189,100.0,True,False,The sad thing is that she thinks she's helping.,,201446
27,104,2014-11-20 15:44:52.233,2016-04-02 16:31:47.308,546cb9c954524053ac000013,Things that matter. Pass 'em on.,Warning: Beware Of Her Selfies And Stereotypes. She's Doing Pretty Much Everything Wrong.,<p>Africa is not your excuse to take selfies.</p>,warning-beware-of-her-selfies-and-stereotypes-shes-doing-pretty-much-everything-wrong-eg2-4c,546c7f42badeb54dd0000005,4600,154,3.9,False,False,The sad thing is that she thinks she's helping.,,201446
28,105,2014-11-20 15:45:15.951,2016-04-02 16:25:54.133,546cb9c954524053ac000013,Things that matter. Pass 'em on.,"Sigh... I Wanted To Like This Woman, But The Selfies Were Too Much. Also, Everything Else About Her.",<p>Africa is not your excuse to take selfies.</p>,sigh-i-wanted-to-like-this-woman-but-the-selfies-were-too-much-also-everything-else-about-her-eg2-4d,546c7f42badeb54dd0000005,4603,162,15.4,False,False,The sad thing is that she thinks she's helping.,,201446
29,140,2014-11-20 19:47:22.141,2016-04-02 16:31:45.844,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea.,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12a,546a84cc5b606a1fa0000022,3017,35,0.0,False,False,,,201446
30,157,2015-02-05 08:37:40.316,2016-04-02 16:24:36.135,54d1967c63666200191c0000,,My Mom Forced Me To Study When I Was A Kid. These Parents Don't Want Kids To Take This Test At All.,<p>Great points.</p>,my-mom-forced-me-to-study-when-i-was-a-kid-these-parents-dont-want-kids-to-take-this-test-at-all-ag2-1f,54d1d11364666100261c0000,2188,14,0.7,False,False,,,201505
31,167,2014-11-20 18:21:02.939,2016-04-02 16:25:54.31,546e2ce926714c856600004f,Things that matter. Pass 'em on.,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better","<p>This interview is so enlightening. I really think Eva Longoria has a future in politics. Before you laugh at that idea, remember, Ronald Reagan was an actor first, too.</p>",colbert-asked-eva-longoria-if-she-produced-a-tomato-but-what-she-really-produced-is-so-much-better-jl2-1a,546e302d26714cd2dd00005b,3612,50,100.0,True,False,,,201446
32,168,2014-11-20 18:21:46.162,2016-04-02 16:25:54.313,546e2ce926714c856600004f,Things that matter. Pass 'em on.,"Without Our 'Food Chains', We'd All Be In 'The Hunger Games'","<p>This interview is so enlightening. I really think Eva Longoria has a future in politics. Before you laugh at that idea, remember, Ronald Reagan was an actor first, too.</p>",without-our-food-chains-wed-all-be-in-the-hunger-games-jl2-1b,546e302d26714cd2dd00005b,3529,15,0.0,False,False,,,201446
33,169,2014-11-20 18:26:37.742,2016-04-02 16:25:54.316,546e2ce926714c856600004f,Things that matter. Pass 'em on.,"From Wisteria Lane To The Farm, Actress Eva Longoria Has It Together","<p>This interview is so enlightening. I really think Eva Longoria has a future in politics. Before you laugh at that idea, remember, Ronald Reagan was an actor first, too.</p>",from-wisteria-lane-to-the-farm-actress-eva-longoria-has-it-together-jl2-1c,546e302d26714cd2dd00005b,3573,16,0.0,False,False,,,201446
34,170,2014-11-20 18:27:35.087,2016-04-02 16:25:54.319,546e2ce926714c856600004f,Things that matter. Pass 'em on.,"In This World 40,000 Pounds Is Worth Only $400. Holy Crap, That's Not Good.","<p>This interview is so enlightening. I really think Eva Longoria has a future in politics. Before you laugh at that idea, remember, Ronald Reagan was an actor first, too.</p>",in-this-world-40-000-pounds-is-worth-only-400-holy-crap-thats-not-good-jl2-1d,546e302d26714cd2dd00005b,3616,25,0.2,False,False,,,201446
35,179,2014-11-20 18:37:56.353,2016-04-02 16:25:54.323,546e2ce926714c856600004f,Things that matter. Pass 'em on.,What Are Walmart And Whole Foods Doing That Wendy's Isn't?,"<p>This interview is so enlightening. I really think Eva Longoria has a future in politics. Before you laugh at that idea, remember, Ronald Reagan was an actor first, too.</p>",what-are-walmart-and-whole-foods-doing-that-wendys-isnt-jl2-1f,546e302d26714cd2dd00005b,3485,30,3.9,False,False,,,201446
36,195,2014-11-20 19:28:40.172,2016-04-02 16:31:47.995,546e40d226714cd2dd00006f,Things that matter. Pass 'em on.,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nothing-prepared-me-for-this-mind-bending-nasa-video-about-what-went-on-across-the-earth-during-2006-rb2-3a,546dedbd84ad38b2ce000034,3006,32,0.3,False,False,,,201446
37,196,2014-11-20 19:28:54.285,2016-04-02 16:25:54.331,546e40d226714cd2dd00006f,Things that matter. Pass 'em on.,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nothing-prepared-me-for-this-mind-bending-nasa-video-about-what-went-on-across-the-earth-during-2006-rb2-3b,546dedbf26714c82cc000029,3123,39,1.6,False,False,,,201446
38,197,2014-11-20 19:29:09.563,2016-04-02 16:25:54.334,546e40d226714cd2dd00006f,Things that matter. Pass 'em on.,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nothing-prepared-me-for-this-mind-bending-nasa-video-about-what-went-on-across-the-earth-during-2006-rb2-3c,546dedc09ad54eca4800003d,3001,50,30.2,False,False,,,201446
39,198,2014-11-20 19:29:29.447,2016-04-02 16:25:54.337,546e40d226714cd2dd00006f,Things that matter. Pass 'em on.,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,"<p>NASA produced this amazing video to show what happens to carbon dioxide and monoxide in our atmosphere over the course of a year. And it’s mesmerizing. It’s not a “we’re all going to die” kinda thing. It’s more like a “er, it almost looks like it’s alive” thing. Yow.</p>",nothing-prepared-me-for-this-mind-bending-nasa-video-about-what-went-on-across-the-earth-during-2006-rb2-3d,546dedbf9ad54e2af0000032,3115,62,100.0,True,False,,,201446
40,226,2014-11-20 19:53:24.931,2016-04-02 16:25:54.364,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12b,546e47149ad54e667a000084,3077,40,0.0,False,False,,,201446
41,227,2014-11-20 19:53:55.687,2016-04-02 16:25:54.366,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12c,546e46ce26714c8566000062,3059,49,0.2,False,False,,,201446
42,228,2014-11-20 19:54:35.088,2016-04-02 16:25:54.441,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12d,546e46f584ad381bbe00006d,3051,84,100.0,True,False,,,201446
43,229,2014-11-20 19:55:42.82,2016-04-02 16:25:54.444,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12e,546e473b26714c0538000091,3056,82,72.5,False,False,,,201446
44,230,2014-11-20 19:55:57.867,2016-04-02 16:31:48.339,546e454a9ad54e2af0000070,Things that matter. Pass 'em on.,A Couple That Loves To Travel Together Came Up With A Genius Idea,<p>This is a pretty great idea for a TV show! I can't wait to watch it.</p>,a-couple-that-loves-to-travel-together-came-up-with-a-genius-idea-jl2-12f,546e47489ad54e1f7700005f,3014,79,56.3,False,False,,,201446
45,264,2014-11-20 21:33:01.644,2016-04-02 16:31:50.592,546e5e0d9ad54eca48000061,Things that matter. Pass 'em on.,Here's What Every School Should Put Right Next To The Swing Set,"<p>Did your parents ever come up with games to get you to eat your vegetables? Have you ever had to use similar tactics for your own kids? Well, there may be an easier way.</p>",heres-what-every-school-should-put-right-next-to-the-swing-set-mk2-7a,546ab4ea007368d4ff00000d,2988,28,100.0,True,False,Why playing with your food might actually be a good thing (despite what your parents told you).,,201446
46,266,2014-11-20 21:36:06.291,2016-04-02 16:25:54.45,546e5e0d9ad54eca48000061,Things that matter. Pass 'em on.,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,"<p>Did your parents ever come up with games to get you to eat your vegetables? Have you ever had to use similar tactics for your own kids? Well, there may be an easier way.</p>",a-bunch-of-schools-in-oregon-tried-an-experiment-and-the-results-just-wow-mk2-7b,546ab4da0073687d49000006,3036,28,94.7,False,False,,,201446
47,273,2014-11-20 21:44:28.646,2016-04-02 16:25:54.454,546e5e0d9ad54eca48000061,Things that matter. Pass 'em on.,I Wish My 2nd Grade Class Had Been Like This. These Kids Are The Luckiest Ever.,"<p>Did your parents ever come up with games to get you to eat your vegetables? Have you ever had to use similar tactics for your own kids? Well, there may be an easier way.</p>",i-wish-my-2nd-grade-class-had-been-like-this-these-kids-are-the-luckiest-ever-mk2-7c,546ab4da0073687d49000006,3048,24,52.8,False,False,,,201446
48,277,2014-11-20 21:47:17.123,2016-04-02 16:25:54.423,546e5e0d9ad54eca48000061,Things that matter. Pass 'em on.,"A Bunch Of Schools In Oregon Are Phasing Out 'Gross Meat Surprise' For Lunch, And Phasing Them In","<p>Did your parents ever come up with games to get you to eat your vegetables? Have you ever had to use similar tactics for your own kids? Well, there may be an easier way.</p>",a-bunch-of-schools-in-oregon-are-phasing-out-gross-meat-surprise-for-lunch-and-phasing-them-in-mk2-7d,546ab4da0073687d49000006,3145,10,0.2,False,False,,,201446
49,278,2014-11-20 21:48:44.791,2016-04-02 16:25:54.426,546e5e0d9ad54eca48000061,Things that matter. Pass 'em on.,A Bunch Of Schools In Oregon Are Trying A Big Experiment. Spoiler Alert: Everyone Loves It.,"<p>Did your parents ever come up with games to get you to eat your vegetables? Have you ever had to use similar tactics for your own kids? Well, there may be an easier way.</p>",a-bunch-of-schools-in-oregon-are-trying-a-big-experiment-spoiler-alert-everyone-loves-it-mk2-7e,546ab4da0073687d49000006,3033,24,53.9,False,False,,,201446
50,297,2014-11-21 00:01:52.201,2016-04-02 16:31:40.845,546e80f084ad380752000096,Things that matter. Pass 'em on.,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,"<p>At age 21, Yeonmi Park is a brand new activist. She’s also a North Korean and she’s a survivor. Listening to her speak of the horrible things she's lived through is pretty heartbreaking. At 2:00, she describes the punishment of a friend's mother for a ""crime"" that in the U.S. is just a normal Friday night activity. At 3:00, when she talks about what happened to her mom, I almost lose it. But at 4:40, she talks about some ways to help that I think we should all hear.</p>",kim-jong-un-would-really-hate-for-you-to-watch-this-which-is-exactly-why-you-should-aa2-5a,546df39a84ad380b59000037,3101,116,100.0,True,False,I thought I knew what life was like in North Korea. Turns out I had no idea. ,,201446
